13:26:30.449 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
13:26:30.544 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=rFTMyoUdxxwyaz1CvJaU, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=ankitkothiyal_mg9F5n, BROWSERSTACK_FRAMEWORK=testng, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStack Sample, BROWSERSTACK_SOURCE=testng:eclipse:v1.0.8]
13:31:59.217 [Worker-15: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:31:59.248 [Worker-15: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:31:59.251 [Worker-15: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:31:59.252 [Worker-15: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:36:44.281 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
13:36:44.282 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:36:44.283 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/testng-browserstack-master
13:36:44.285 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
13:36:44.285 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:36:44.287 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/testng-browserstack-master
13:36:45.578 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
13:36:45.578 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:36:45.580 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/testng-browserstack-master
13:36:45.581 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
13:36:45.581 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:36:45.583 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/testng-browserstack-master
13:38:11.800 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:38:11.802 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:38:11.804 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:38:11.805 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:39:35.314 [Worker-25: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:39:35.319 [Worker-25: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:39:35.321 [Worker-25: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:39:35.322 [Worker-25: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:40:33.272 [Worker-27: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:40:33.274 [Worker-27: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:40:33.278 [Worker-27: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:40:33.279 [Worker-27: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:41:01.243 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:41:01.244 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:41:01.246 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:41:01.247 [Worker-24: Launching BStackDemoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:43:49.169 [Worker-28: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:43:49.170 [Worker-28: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:43:49.172 [Worker-28: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:43:49.173 [Worker-28: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
13:45:51.170 [Worker-31: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
13:45:51.171 [Worker-31: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
13:45:51.174 [Worker-31: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
13:45:51.174 [Worker-31: Launching BStackLocalTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
14:05:48.464 [Worker-41: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
14:05:48.475 [Worker-41: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
14:05:48.482 [Worker-41: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
14:05:48.484 [Worker-41: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
14:11:03.584 [Worker-46: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
14:11:03.586 [Worker-46: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
14:11:03.588 [Worker-46: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
14:11:03.589 [Worker-46: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
14:13:21.420 [Worker-42: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
14:13:21.425 [Worker-42: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
14:13:21.428 [Worker-42: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
14:13:21.429 [Worker-42: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
14:18:12.077 [Worker-50: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
14:18:12.079 [Worker-50: Launching TC_001_WebScraper] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
14:18:12.081 [Worker-50: Launching TC_001_WebScr
